Rank,Name,Age,Position,Country,club,Value
1,Kylian Mbappé,21,Centre-Forward,France,Paris Saint-Germain,£162.00m 
2,Raheem Sterling,25,Left Winger,England,Manchester City,£115.20m 
3,Neymar,28,Left Winger,Brazil,Paris Saint-Germain,£115.20m 
4,Sadio Mané,28,Left Winger,Senegal,Liverpool FC,£108.00m 
5,Mohamed Salah,28,Right Winger,Egypt,Liverpool FC,£108.00m 
6,Harry Kane,26,Centre-Forward,England,Tottenham Hotspur,£108.00m 
7,Kevin De Bruyne,29,Attacking Midfield,Belgium,Manchester City,£108.00m 
8,Jadon Sancho,20,Right Winger,England,Borussia Dortmund,£105.30m 
9,Lionel Messi,33,Right Winger,Argentina,FC Barcelona,£100.80m 
10,Trent Alexander-Arnold,21,Right-Back,England,Liverpool FC,£89.10m 
11,Antoine Griezmann,29,Second Striker,France,FC Barcelona,£86.40m 
12,João Félix,20,Second Striker,Portugal,Atlético Madrid,£72.90m 
13,Kai Havertz,21,Attacking Midfield,Germany,Bayer 04 Leverkusen,£72.90m 
14,Bernardo Silva,25,Right Winger,Portugal,Manchester City,£72.00m 
15,N'Golo Kanté,29,Central Midfield,France,Chelsea FC,£72.00m 
16,Leroy Sané,24,Left Winger,Germany,Manchester City,£72.00m 
17,Virgil van Dijk,29,Centre-Back,Netherlands,Liverpool FC,£72.00m 
18,Paul Pogba,27,Central Midfield,France,Manchester United,£72.00m 
19,Jan Oblak,27,Goalkeeper,Slovenia,Atlético Madrid,£72.00m 
20,Eden Hazard,29,Left Winger,Belgium,Real Madrid,£72.00m 
21,Joshua Kimmich,25,Defensive Midfield,Germany,Bayern Munich,£67.50m 
22,Erling Haaland,19,Centre-Forward,Norway,Borussia Dortmund,£64.80m 
23,Frenkie de Jong,23,Central Midfield,Netherlands,FC Barcelona,£64.80m 
24,Paulo Dybala,26,Second Striker,Argentina,Juventus FC,£64.80m 
25,Serge Gnabry,24,Right Winger,Germany,Bayern Munich,£64.80m 
26,Saúl Ñíguez,25,Central Midfield,Spain,Atlético Madrid,£64.80m 
27,Roberto Firmino,28,Centre-Forward,Brazil,Liverpool FC,£64.80m 
28,Alisson,27,Goalkeeper,Brazil,Liverpool FC,£64.80m 
